index,negotiation_arrangement,name,billing_code_type,billing_code_type_version,billing_code,description,bundled_codes_billing_code_type,bundled_codes_billing_code_type_version,bundled_codes_billing_code,bundled_codes_description,covered_services_billing_code_type,covered_services_billing_code_type_version,covered_services_billing_code,covered_services_description,negotiated_rates_provider_groups_npi,negotiated_rates_provider_groups_tin_type,negotiated_rates_provider_groups_tin_value,negotiated_rates_negotiated_prices_negotiated_type,negotiated_rates_negotiated_prices_negotiated_rate,negotiated_rates_negotiated_prices_expiration_date,negotiated_rates_negotiated_prices_service_code,negotiated_rates_negotiated_prices_billing_class 
68761,bundle,EXCISION OF PENILE PLACQUE (PEYRONIE DISEASE);,LOCAL,2022,0360-54162,EXCISION OF PENILE PLACQUE (PEYRONIE DISEASE);,RC,2022,389,BLOOD/OTHER,,,,,1831151455,ein,04-3358564,fee schedule,3501.52,12/31/9999,22,institutional
34229,bundle,COMBINED ANTEROPOSTERIOR COLPORRHAPHY INCLUDING CYSTOURETHROSC,LOCAL,2022,0360-57260,COMBINED ANTEROPOSTERIOR COLPORRHAPHY INCLUDING CYSTOURETHROSC,RC,2022,386,BLOOD - OTHER COMPONENTS,,,,,1831151455,ein,04-3358564,fee schedule,8303.89,12/31/9999,22,institutional
34291,bundle,COMBINED ANTEROPOSTERIOR COLPORRHAPHY INCLUDING CYSTOURETHROSC,LOCAL,2022,0360-57265,COMBINED ANTEROPOSTERIOR COLPORRHAPHY INCLUDING CYSTOURETHROSC,RC,2022,511,CHRONIC PAIN CLINIC,,,,,1831151455,ein,04-3358564,fee schedule,8303.89,12/31/9999,22,institutional
33683,bundle,"COLPOSCOPY OF THE CERVIX,ETC",LOCAL,2022,0360-57455,"COLPOSCOPY OF THE CERVIX,ETC",RC,2022,512,DENTAL CLINIC,,,,,1831151455,ein,04-3358564,fee schedule,549.45,12/31/9999,22,institutional
33755,bundle,"COLPOSCOPY OF THE CERVIX,ETC",LOCAL,2022,0360-57456,"COLPOSCOPY OF THE CERVIX,ETC",RC,2022,515,PEDIATRIC CLINIC,,,,,1831151455,ein,04-3358564,fee schedule,549.45,12/31/9999,22,institutional
33803,bundle,"COLPOSCOPY OF THE CERVIX,ETC",LOCAL,2022,0360-57461,"COLPOSCOPY OF THE CERVIX,ETC",RC,2022,529,OTHER FREESTANDING CLINIC,,,,,1831151455,ein,04-3358564,fee schedule,4752.44,12/31/9999,22,institutional
81608,bundle,"HYSTERECTOMY VAGINAL, ETC",LOCAL,2022,0360-58290,"HYSTERECTOMY VAGINAL, ETC",RC,2022,386,BLOOD - OTHER COMPONENTS,,,,,1831151455,ein,04-3358564,fee schedule,12769.15,12/31/9999,22,institutional
81669,bundle,"HYSTERECTOMY VAGINAL, ETC",LOCAL,2022,0360-58291,"HYSTERECTOMY VAGINAL, ETC",RC,2022,700,CAST ROOM,,,,,1831151455,ein,04-3358564,fee schedule,8303.89,12/31/9999,22,institutional
81746,bundle,"HYSTERECTOMY VAGINAL, ETC",LOCAL,2022,0360-58292,"HYSTERECTOMY VAGINAL, ETC",RC,2022,515,PEDIATRIC CLINIC,,,,,1831151455,ein,04-3358564,fee schedule,12769.15,12/31/9999,22,institutional
97306,bundle,"LAPAROSCOPY, SURGICAL, SUPRACERVICAL HYSTERECTOMY, FOR UTER GR",LOCAL,2022,0360-58543,"LAPAROSCOPY, SURGICAL, SUPRACERVICAL HYSTERECTOMY, FOR UTER GR",RC,2022,623,SURGICAL DRESSINGS.,,,,,1831151455,ein,04-3358564,fee schedule,15581.28,12/31/9999,22,institutional
97308,bundle,"LAPAROSCOPY, SURGICAL, SUPRACERVICAL HYSTERECTOMY, FOR UTER GR",LOCAL,2022,0360-58544,"LAPAROSCOPY, SURGICAL, SUPRACERVICAL HYSTERECTOMY, FOR UTER GR",RC,2022,929,ADDITIONAL DX SVS,,,,,1831151455,ein,04-3358564,fee schedule,15581.28,12/31/9999,22,institutional
99223,bundle,"LAPAROSCOPY,SURGICAL, ETC.",LOCAL,2022,0360-58545,"LAPAROSCOPY,SURGICAL, ETC.",RC,2022,450,EMERG ROOM,,,,,1831151455,ein,04-3358564,fee schedule,9249.89,12/31/9999,22,institutional
99249,bundle,"LAPAROSCOPY,SURGICAL, ETC.",LOCAL,2022,0360-58546,"LAPAROSCOPY,SURGICAL, ETC.",RC,2022,372,ANESTHESIA - INCIDENTAL TO OTHER DIAGNOSTICS,,,,,1831151455,ein,04-3358564,fee schedule,15581.28,12/31/9999,22,institutional
99332,bundle,"LAPAROSCOPY,SURGICAL, ETC.",LOCAL,2022,0360-58552,"LAPAROSCOPY,SURGICAL, ETC.",RC,2022,790,LITHOTRIPSY,,,,,1831151455,ein,04-3358564,fee schedule,15581.28,12/31/9999,22,institutional
99368,bundle,"LAPAROSCOPY,SURGICAL, ETC.",LOCAL,2022,0360-58553,"LAPAROSCOPY,SURGICAL, ETC.",RC,2022,510,CLINIC,,,,,1831151455,ein,04-3358564,fee schedule,15581.28,12/31/9999,22,institutional
99448,bundle,"LAPAROSCOPY,SURGICAL, ETC.",LOCAL,2022,0360-58554,"LAPAROSCOPY,SURGICAL, ETC.",RC,2022,623,SURGICAL DRESSINGS.,,,,,1831151455,ein,04-3358564,fee schedule,15581.28,12/31/9999,22,institutional
20111,bundle,BALLOON DILATION OF INTRACRANIAL VASOSPASM PERCUTANEOUS; EACH,LOCAL,2022,0360-61641,BALLOON DILATION OF INTRACRANIAL VASOSPASM PERCUTANEOUS; EACH,RC,2022,382,BLOOD/WHOLE,,,,,1831151455,ein,04-3358564,fee schedule,486.59,12/31/9999,22,institutional
20151,bundle,BALLOON DILATION OF INTRACRANIAL VASOSPASM PERCUTANEOUS; EACH,LOCAL,2022,0360-61642,BALLOON DILATION OF INTRACRANIAL VASOSPASM PERCUTANEOUS; EACH,RC,2022,380,BLOOD,,,,,1831151455,ein,04-3358564,fee schedule,973.16,12/31/9999,22,institutional
86273,bundle,INCISION FOR SUBCUTANEOUS PLACEMENT OF NEUROSTIMULATOR RECEIVE,LOCAL,2022,0360-61885,INCISION FOR SUBCUTANEOUS PLACEMENT OF NEUROSTIMULATOR RECEIVE,RC,2022,276,INTRAOCULAR LENS,,,,,1831151455,ein,04-3358564,fee schedule,37651.17,12/31/9999,22,institutional
86307,bundle,INCISION FOR SUBCUTANEOUS PLACEMENT OF NEUROSTIMULATOR RECEIVE,LOCAL,2022,0360-61886,INCISION FOR SUBCUTANEOUS PLACEMENT OF NEUROSTIMULATOR RECEIVE,RC,2022,381,BLOOD/PKD RED,,,,,1831151455,ein,04-3358564,fee schedule,55746.36,12/31/9999,22,institutional
110917,bundle,NJX DX/THER SBST INTRLMNR CRV/THRC W/O IMG GDN,LOCAL,2022,0360-62320,NJX DX/THER SBST INTRLMNR CRV/THRC W/O IMG GDN,RC,2022,729,OTHER/DELIV-LABOR,,,,,1831151455,ein,04-3358564,fee schedule,1205.2,12/31/9999,22,institutional
110789,bundle,NJX DX/THER SBST INTRLMNR CRV/THRC W/IMG GDN,LOCAL,2022,0360-62321,NJX DX/THER SBST INTRLMNR CRV/THRC W/IMG GDN,RC,2022,382,BLOOD/WHOLE,,,,,1831151455,ein,04-3358564,fee schedule,1205.2,12/31/9999,22,institutional
111114,bundle,NJX DX/THER SBST INTRLMNR LMBR/SAC W/O IMG GDN,LOCAL,2022,0360-62322,NJX DX/THER SBST INTRLMNR LMBR/SAC W/O IMG GDN,RC,2022,270,MED-SURG SUPPLIES,,,,,1831151455,ein,04-3358564,fee schedule,1205.2,12/31/9999,22,institutional
111019,bundle,NJX DX/THER SBST INTRLMNR LMBR/SAC W/IMG GDN,LOCAL,2022,0360-62323,NJX DX/THER SBST INTRLMNR LMBR/SAC W/IMG GDN,RC,2022,729,OTHER/DELIV-LABOR,,,,,1831151455,ein,04-3358564,fee schedule,1205.2,12/31/9999,22,institutional
110929,bundle,NJX DX/THER SBST INTRLMNR CRV/THRC W/O IMG GDN,LOCAL,2022,0360-62324,NJX DX/THER SBST INTRLMNR CRV/THRC W/O IMG GDN,RC,2022,371,ANESTHESIA INCIDENT TO RADIOLOGY,,,,,1831151455,ein,04-3358564,fee schedule,1539.37,12/31/9999,22,institutional
110836,bundle,NJX DX/THER SBST INTRLMNR CRV/THRC W/IMG GDN,LOCAL,2022,0360-62325,NJX DX/THER SBST INTRLMNR CRV/THRC W/IMG GDN,RC,2022,389,BLOOD/OTHER,,,,,1831151455,ein,04-3358564,fee schedule,1539.37,12/31/9999,22,institutional
111168,bundle,NJX DX/THER SBST INTRLMNR LMBR/SAC W/O IMG GDN,LOCAL,2022,0360-62326,NJX DX/THER SBST INTRLMNR LMBR/SAC W/O IMG GDN,RC,2022,920,OTHER DX SVS,,,,,1831151455,ein,04-3358564,fee schedule,1539.37,12/31/9999,22,institutional
111032,bundle,NJX DX/THER SBST INTRLMNR LMBR/SAC W/IMG GDN,LOCAL,2022,0360-62327,NJX DX/THER SBST INTRLMNR LMBR/SAC W/IMG GDN,RC,2022,724,BIRTHING CENTER,,,,,1831151455,ein,04-3358564,fee schedule,1539.37,12/31/9999,22,institutional
2981750,ffs,ALL INCL ANCIL,RC,2022,243,ALL INCL ANCIL,,,,,,,,,1245218403,ein,04-2430837,percentage,100,12/31/9999,22,institutional
2984114,ffs,OCCUP THERP/VISIT,RC,2022,433,OCCUP THERP/VISIT,,,,,,,,,1881692663,ein,03-0501991,percentage,100,12/31/9999,22,institutional
2984046,ffs,MRI OTHER,RC,2022,614,MRI OTHER,,,,,,,,,1164497459,ein,04-2520322,percentage,100,12/31/9999,22,institutional
211787,ffs,ANESA.4 CLOSED PROC. INVL SYSMPHYSIS PUBIS OR SACROILIAC JOINT,CPT,2022,1112,ANESA.4 CLOSED PROC. INVL SYSMPHYSIS PUBIS OR SACROILIAC JOINT,,,,,,,,,1164497459,ein,04-2520322,percentage,100,12/31/9999,22,institutional
254305,ffs,"DEBRIDEMENT OF SKIN, SUBCUTANEOUS TISSUE, MUSCLE AND FASCIA FO",CPT,2022,11005,"DEBRIDEMENT OF SKIN, SUBCUTANEOUS TISSUE, MUSCLE AND FASCIA FO",,,,,,,,,1437619186,ein,83-4050612,percentage,100,12/31/9999,22,institutional
271190,ffs,"SHAVING OF EPIDERMAL OR DERMAL LESION,SINGLE LESION,SCALP,NECK",CPT,2022,11306,"SHAVING OF EPIDERMAL OR DERMAL LESION,SINGLE LESION,SCALP,NECK",,,,,,,,,1437619186,ein,83-4050612,percentage,100,12/31/9999,22,institutional
269844,ffs,"SHAVING OF EPIDERMAL OR DERMAL LESION,FACE,EARS,EYELIDS,NOSE,L",CPT,2022,11312,"SHAVING OF EPIDERMAL OR DERMAL LESION,FACE,EARS,EYELIDS,NOSE,L",,,,,,,,,1437619186,ein,83-4050612,percentage,100,12/31/9999,22,institutional
303828,ffs,"ADJACENT TISSUE TRANSFER OR REARRANGEMENT, 10 TO 30 CM",CPT,2022,14041,"ADJACENT TISSUE TRANSFER OR REARRANGEMENT, 10 TO 30 CM",,,,,,,,,1437619186,ein,83-4050612,percentage,100,12/31/9999,22,institutional
310569,ffs,"SPLIT GRAFT, TRUNK/SCALP/ARMS/LEGS/ETC. UP TO 100 CM/1% BODY",CPT,2022,15100,"SPLIT GRAFT, TRUNK/SCALP/ARMS/LEGS/ETC. UP TO 100 CM/1% BODY",,,,,,,,,1437619186,ein,83-4050612,percentage,100,12/31/9999,22,institutional
320065,ffs,"TISSUE CULTURED SKIN AUTOGRAFT,FACE,SCALP,EYELIDS,MOUTH,NECK,E",CPT,2022,15155,"TISSUE CULTURED SKIN AUTOGRAFT,FACE,SCALP,EYELIDS,MOUTH,NECK,E",,,,,,,,,1437619186,ein,83-4050612,percentage,100,12/31/9999,22,institutional
337840,ffs,"EXCISION, EXCESSIVE SKIN AND SUBCUTANEOUS TISSUE (INCL LIPECTO",CPT,2022,15830,"EXCISION, EXCESSIVE SKIN AND SUBCUTANEOUS TISSUE (INCL LIPECTO",,,,,,,,,1437619186,ein,83-4050612,percentage,100,12/31/9999,22,institutional
356025,ffs,"MOHS MICROGRAPHIC TECHNIQUE, INCL REMOVAL OF ALL GROSS TUMOR,",CPT,2022,17311,"MOHS MICROGRAPHIC TECHNIQUE, INCL REMOVAL OF ALL GROSS TUMOR,",,,,,,,,,1437619186,ein,83-4050612,percentage,100,12/31/9999,22,institutional
370717,ffs,PLACEMENT OF RADIOTHERAPY AFTERLOADING EXPANDABLE CATH(SINGLE,CPT,2022,19297,PLACEMENT OF RADIOTHERAPY AFTERLOADING EXPANDABLE CATH(SINGLE,,,,,,,,,1437619186,ein,83-4050612,percentage,100,12/31/9999,22,institutional
395490,ffs,EXCISION OF BENIGN CYST OR TUMOR OF MANDIBLE; COMPLEX,CPT,2022,21048,EXCISION OF BENIGN CYST OR TUMOR OF MANDIBLE; COMPLEX,,,,,,,,,1437619186,ein,83-4050612,percentage,100,12/31/9999,22,institutional
429639,ffs,"OSTEOTOMY SPINE,POST OR POSTEROLATERAL APRCH,3 COLS,1VERT SEGM",CPT,2022,22207,"OSTEOTOMY SPINE,POST OR POSTEROLATERAL APRCH,3 COLS,1VERT SEGM",,,,,,,,,1437619186,ein,83-4050612,percentage,100,12/31/9999,22,institutional
429122,ffs,OPEN TRTMNT &/OR REDUCTION OF ODONTOID FRACTURE,CPT,2022,22318,OPEN TRTMNT &/OR REDUCTION OF ODONTOID FRACTURE,,,,,,,,,1437619186,ein,83-4050612,percentage,100,12/31/9999,22,institutional
429906,ffs,"PERCUTANEOUS INTRADISCAL ELECTROTHERMAL ANNULOPLASTY, UNILATER",CPT,2022,22526,"PERCUTANEOUS INTRADISCAL ELECTROTHERMAL ANNULOPLASTY, UNILATER",,,,,,,,,1437619186,ein,83-4050612,percentage,100,12/31/9999,22,institutional
475608,ffs,OPEN TREATMNT HUMRL SUPRACONDYLR/TRANSCONDYLR FX INCL INT FIXA,CPT,2022,24546,OPEN TREATMNT HUMRL SUPRACONDYLR/TRANSCONDYLR FX INCL INT FIXA,,,,,,,,,1437619186,ein,83-4050612,percentage,100,12/31/9999,22,institutional
496714,ffs,"OSTEOPLASTY,RADIUS AND ULNA; SHORTENING",CPT,2022,25392,"OSTEOPLASTY,RADIUS AND ULNA; SHORTENING",,,,,,,,,1437619186,ein,83-4050612,percentage,100,12/31/9999,22,institutional
496715,ffs,"OSTEOPLASTY,RADIUS AND ULNA; SHORTENING",CPT,2022,25394,"OSTEOPLASTY,RADIUS AND ULNA; SHORTENING",,,,,,,,,1437619186,ein,83-4050612,percentage,100,12/31/9999,22,institutional
623099,ffs,CLOSED TREATMENT OF FRACTURE OF WEIGHT BEARING ARTICULAR PORTI,CPT,2022,27824,CLOSED TREATMENT OF FRACTURE OF WEIGHT BEARING ARTICULAR PORTI,,,,,,,,,1437619186,ein,83-4050612,percentage,100,12/31/9999,22,institutional
693506,ffs,ARTHROSCOPICALLY AIDED TREATMENT OF INTERCONDYLAR SPINE(S)AND/,CPT,2022,29850,ARTHROSCOPICALLY AIDED TREATMENT OF INTERCONDYLAR SPINE(S)AND/,,,,,,,,,1437619186,ein,83-4050612,percentage,100,12/31/9999,22,institutional
721808,ffs,"ABLATION, SOFT TISS OF INFERIOR TURBINATES, UNI OR BILAT, ANY",CPT,2022,30802,"ABLATION, SOFT TISS OF INFERIOR TURBINATES, UNI OR BILAT, ANY",,,,,,,,,1437619186,ein,83-4050612,percentage,100,12/31/9999,22,institutional
755918,ffs,"BRONCHOSCOPY, RIGID OR FLEX, INCL FLUOROSC GUID, WHEN PERF; WI",CPT,2022,31645,"BRONCHOSCOPY, RIGID OR FLEX, INCL FLUOROSC GUID, WHEN PERF; WI",,,,,,,,,1437619186,ein,83-4050612,percentage,100,12/31/9999,22,institutional
772409,ffs,INSERT OF NEW OR REPLACEMENT OF PERM PACEMAKER W/TRANSVEN ELEC,CPT,2022,33208,INSERT OF NEW OR REPLACEMENT OF PERM PACEMAKER W/TRANSVEN ELEC,,,,,,,,,1437619186,ein,83-4050612,percentage,100,12/31/9999,22,institutional
773931,ffs,"OPERATIVE TISSUE ALBATION AND RECONSTRUCTION OF ATRIA, EXTENSI",CPT,2022,33256,"OPERATIVE TISSUE ALBATION AND RECONSTRUCTION OF ATRIA, EXTENSI",,,,,,,,,1437619186,ein,83-4050612,percentage,100,12/31/9999,22,institutional
791506,ffs,WITH CLOSURE OF VENTRICULAR SEPTAL DEFECT,CPT,2022,33776,WITH CLOSURE OF VENTRICULAR SEPTAL DEFECT,,,,,,,,,1437619186,ein,83-4050612,percentage,100,12/31/9999,22,institutional
791514,ffs,WITH REPAIR OF SUBPULMONIC OBSTRUCTION,CPT,2022,33781,WITH REPAIR OF SUBPULMONIC OBSTRUCTION,,,,,,,,,1437619186,ein,83-4050612,percentage,100,12/31/9999,22,institutional
811569,ffs,"THROMBOENDARTERECTOMY, W OR W/O PATCH GRAFT; COMB AORTOILIAC",CPT,2022,35361,"THROMBOENDARTERECTOMY, W OR W/O PATCH GRAFT; COMB AORTOILIAC",,,,,,,,,1437619186,ein,83-4050612,percentage,100,12/31/9999,22,institutional
802128,ffs,BYPASS GRAFT WITH VEIN; AXILLARY-BRACHIAL,CPT,2022,35525,BYPASS GRAFT WITH VEIN; AXILLARY-BRACHIAL,,,,,,,,,1437619186,ein,83-4050612,percentage,100,12/31/9999,22,institutional
808080,ffs,"REVISION, FEMORAL ANASTOMOSIS OF SYNTHETIC ARTERIAL BYPASS GRA",CPT,2022,35884,"REVISION, FEMORAL ANASTOMOSIS OF SYNTHETIC ARTERIAL BYPASS GRA",,,,,,,,,1437619186,ein,83-4050612,percentage,100,12/31/9999,22,institutional
825499,ffs,INSERTION OF TUNNELD CENTRALLY INSERTED CENTRAL VENOUS ACCES,CPT,2022,36566,INSERTION OF TUNNELD CENTRALLY INSERTED CENTRAL VENOUS ACCES,,,,,,,,,1437619186,ein,83-4050612,percentage,100,12/31/9999,22,institutional
851436,ffs,TRANSPLANT PREP OF HEMOPOETIC PROGENITOR CELLS; THAWING OF PRE,CPT,2022,38209,TRANSPLANT PREP OF HEMOPOETIC PROGENITOR CELLS; THAWING OF PRE,,,,,,,,,1437619186,ein,83-4050612,percentage,100,12/31/9999,22,institutional
851425,ffs,"TRANSPLANT PREP OF HEMOPOETIC PROGENITOR CELLS, ETC.",CPT,2022,38210,"TRANSPLANT PREP OF HEMOPOETIC PROGENITOR CELLS, ETC.",,,,,,,,,1437619186,ein,83-4050612,percentage,100,12/31/9999,22,institutional
851429,ffs,"TRANSPLANT PREP OF HEMOPOETIC PROGENITOR CELLS, ETC.",CPT,2022,38212,"TRANSPLANT PREP OF HEMOPOETIC PROGENITOR CELLS, ETC.",,,,,,,,,1437619186,ein,83-4050612,percentage,100,12/31/9999,22,institutional
918163,ffs,"LIGATION, DIRECT, ESOPHAGEAL VARICES",CPT,2022,43401,"LIGATION, DIRECT, ESOPHAGEAL VARICES",,,,,,,,,1437619186,ein,83-4050612,percentage,100,12/31/9999,22,institutional
922501,ffs,"ENTERECTOMY, RESECTION OF SMALL INTESTINE, EACH ADDITION",CPT,2022,44121,"ENTERECTOMY, RESECTION OF SMALL INTESTINE, EACH ADDITION",,,,,,,,,1437619186,ein,83-4050612,percentage,100,12/31/9999,22,institutional
922875,ffs,INTESTINAL ALLOWTRANSPLANTATION; FROM CADAVER,CPT,2022,44136,INTESTINAL ALLOWTRANSPLANTATION; FROM CADAVER,,,,,,,,,1437619186,ein,83-4050612,percentage,100,12/31/9999,22,institutional
921953,ffs,"COLECTOMY,TOTAL,ABDOMINAL,W ILEOPROCTOSTOMY;W/O PROCTECTOMY",CPT,2022,44147,"COLECTOMY,TOTAL,ABDOMINAL,W ILEOPROCTOSTOMY;W/O PROCTECTOMY",,,,,,,,,1437619186,ein,83-4050612,percentage,100,12/31/9999,22,institutional
921944,ffs,"COLECTOMY, TOTAL, ABDOMINAL, WITH PROCTECTOMY;W/ILEOANAL ANAST",CPT,2022,44158,"COLECTOMY, TOTAL, ABDOMINAL, WITH PROCTECTOMY;W/ILEOANAL ANAST",,,,,,,,,1437619186,ein,83-4050612,percentage,100,12/31/9999,22,institutional
921930,ffs,BLUECARD,CPT,2022,44209,BLUECARD,,,,,,,,,1437619186,ein,83-4050612,percentage,100,12/31/9999,22,institutional
929992,ffs,"SMALL INTEST ENDO, ENTEROSCOPY BEYOND 2ND PORTION OF DUODENUM,",CPT,2022,44363,"SMALL INTEST ENDO, ENTEROSCOPY BEYOND 2ND PORTION OF DUODENUM,",,,,,,,,,1437619186,ein,83-4050612,percentage,100,12/31/9999,22,institutional
945176,ffs,LAPAROSCOPY SURGICAL GASTRIC,CPT,2022,45397,LAPAROSCOPY SURGICAL GASTRIC,,,,,,,,,1437619186,ein,83-4050612,percentage,100,12/31/9999,22,institutional
946484,ffs,PROCTOPEXY FOR PROLAPSE;,CPT,2022,45400,PROCTOPEXY FOR PROLAPSE;,,,,,,,,,1437619186,ein,83-4050612,percentage,100,12/31/9999,22,institutional
946485,ffs,PROCTOPEXY FOR PROLAPSE;,CPT,2022,45402,PROCTOPEXY FOR PROLAPSE;,,,,,,,,,1437619186,ein,83-4050612,percentage,100,12/31/9999,22,institutional
973003,ffs,BLUECARD,CPT,2022,47561,BLUECARD,,,,,,,,,1437619186,ein,83-4050612,percentage,100,12/31/9999,22,institutional
1036843,ffs,CYSTOURETHROSCOPY,CPT,2022,52342,CYSTOURETHROSCOPY,,,,,,,,,1437619186,ein,83-4050612,percentage,100,12/31/9999,22,institutional
1078989,ffs,VAGINECTOMY COMPLETE REMOVAL OF VAGINAL WALL WITH REMOVAL,CPT,2022,57111,VAGINECTOMY COMPLETE REMOVAL OF VAGINAL WALL WITH REMOVAL,,,,,,,,,1437619186,ein,83-4050612,percentage,100,12/31/9999,22,institutional
1085462,ffs,COMBINED ANTEROPOSTERIOR COLPORRHAPHY INCLUDING CYSTOURETHROSC,CPT,2022,57265,COMBINED ANTEROPOSTERIOR COLPORRHAPHY INCLUDING CYSTOURETHROSC,,,,,,,,,1437619186,ein,83-4050612,percentage,100,12/31/9999,22,institutional
1096309,ffs,"LAPAROSCOPY, SURGICAL, SUPRACERVICAL HYSTERECTOMY, FOR UTER GR",CPT,2022,58543,"LAPAROSCOPY, SURGICAL, SUPRACERVICAL HYSTERECTOMY, FOR UTER GR",,,,,,,,,1437619186,ein,83-4050612,percentage,100,12/31/9999,22,institutional
1096557,ffs,"LAPAROSCOPY, SURGICAL, SUPRACERVICAL HYSTERECTOMY, FOR UTER GR",CPT,2022,58544,"LAPAROSCOPY, SURGICAL, SUPRACERVICAL HYSTERECTOMY, FOR UTER GR",,,,,,,,,1437619186,ein,83-4050612,percentage,100,12/31/9999,22,institutional
1096848,ffs,"LAPAROSCOPY,SURGICAL, ETC.",CPT,2022,58545,"LAPAROSCOPY,SURGICAL, ETC.",,,,,,,,,1437619186,ein,83-4050612,percentage,100,12/31/9999,22,institutional
1132477,ffs,"CRANIECTOMY, ETC",CPT,2022,61540,"CRANIECTOMY, ETC",,,,,,,,,1437619186,ein,83-4050612,percentage,100,12/31/9999,22,institutional
139033,bundle,RECONSTRUCTIVE REPAIR OF PECTUS EXCAVATUM OF CARINATUM,LOCAL,2022,0360-21742,RECONSTRUCTIVE REPAIR OF PECTUS EXCAVATUM OF CARINATUM,RC,2022,510,CLINIC,,,,,1831151455,ein,04-3358564,fee schedule,5279.89,12/31/9999,22,institutional
139069,bundle,RECONSTRUCTIVE REPAIR OF PECTUS EXCAVATUM OF CARINATUM,LOCAL,2022,0360-21743,RECONSTRUCTIVE REPAIR OF PECTUS EXCAVATUM OF CARINATUM,RC,2022,724,BIRTHING CENTER,,,,,1831151455,ein,04-3358564,fee schedule,5279.89,12/31/9999,22,institutional
137470,bundle,"RECONST MEDIAL COLLATERAL LIGAMENT,ELBOW,W/TENDON GRAFT",LOCAL,2022,0360-25001,"RECONST MEDIAL COLLATERAL LIGAMENT,ELBOW,W/TENDON GRAFT",RC,2022,519,OTHER CLINIC,,,,,1831151455,ein,04-3358564,fee schedule,5279.89,12/31/9999,22,institutional
121514,bundle,"OSTEOPLASTY,RADIUS AND ULNA; SHORTENING",LOCAL,2022,0360-25392,"OSTEOPLASTY,RADIUS AND ULNA; SHORTENING",RC,2022,250,PHARMACY,,,,,1831151455,ein,04-3358564,fee schedule,5279.89,12/31/9999,22,institutional
121557,bundle,"OSTEOPLASTY,RADIUS AND ULNA; SHORTENING",LOCAL,2022,0360-25394,"OSTEOPLASTY,RADIUS AND ULNA; SHORTENING",RC,2022,514,OBGYN CLINIC,,,,,1831151455,ein,04-3358564,fee schedule,5279.89,12/31/9999,22,institutional
85742,bundle,INCISION AND DRAINAGE; DEEP ABSCESS OR HEMATOMA,LOCAL,2022,0360-26990,INCISION AND DRAINAGE; DEEP ABSCESS OR HEMATOMA,RC,2022,384,BLOOD - PLATELETS,,,,,1831151455,ein,04-3358564,fee schedule,5279.89,12/31/9999,22,institutional
142251,bundle,REMOVAL OF FOREIGN BODY; DEEP,LOCAL,2022,0360-27087,REMOVAL OF FOREIGN BODY; DEEP,RC,2022,252,DRUGS/NONGENERIC,,,,,1831151455,ein,04-3358564,fee schedule,5279.89,12/31/9999,22,institutional
42433,bundle,"DECOMPRESSION FASCIOTOMY,THIGH AND/OR KNEE,ONE COMPARTMENT(FLE",LOCAL,2022,0360-27496,"DECOMPRESSION FASCIOTOMY,THIGH AND/OR KNEE,ONE COMPARTMENT(FLE",RC,2022,379,ANESTHE/OTHER,,,,,1831151455,ein,04-3358564,fee schedule,5279.89,12/31/9999,22,institutional
42520,bundle,"DECOMPRESSION FASCIOTOMY,THIGH AND/OR KNEE,ONE COMPARTMENT(FLE",LOCAL,2022,0360-27497,"DECOMPRESSION FASCIOTOMY,THIGH AND/OR KNEE,ONE COMPARTMENT(FLE",RC,2022,514,OBGYN CLINIC,,,,,1831151455,ein,04-3358564,fee schedule,5279.89,12/31/9999,22,institutional
42419,bundle,"DECOMPRESSION FASCIOTOMY,THIGH AND/OR KNEE,MULTIPLE COMPARTMEN",LOCAL,2022,0360-27499,"DECOMPRESSION FASCIOTOMY,THIGH AND/OR KNEE,MULTIPLE COMPARTMEN",RC,2022,519,OTHER CLINIC,,,,,1831151455,ein,04-3358564,fee schedule,5279.89,12/31/9999,22,institutional
86022,bundle,INCISION AND DRAINAGE; INFECTED BURSA,LOCAL,2022,0360-27604,INCISION AND DRAINAGE; INFECTED BURSA,RC,2022,270,MED-SURG SUPPLIES,,,,,1831151455,ein,04-3358564,fee schedule,5279.89,12/31/9999,22,institutional
86562,bundle,"INCISION, DEEP, WITH OPENING OF BONE CORTEX FOR OSTEOMYELITIS",LOCAL,2022,0360-27607,"INCISION, DEEP, WITH OPENING OF BONE CORTEX FOR OSTEOMYELITIS",RC,2022,381,BLOOD/PKD RED,,,,,1831151455,ein,04-3358564,fee schedule,5279.89,12/31/9999,22,institutional
124829,bundle,"PARTIAL EXC (CRATERIZATION, SAUCERIZATION, OR DIAPHYSECYOMY)BO",LOCAL,2022,0360-27640,"PARTIAL EXC (CRATERIZATION, SAUCERIZATION, OR DIAPHYSECYOMY)BO",RC,2022,250,PHARMACY,,,,,1831151455,ein,04-3358564,fee schedule,5279.89,12/31/9999,22,institutional
124846,bundle,"PARTIAL EXC (CRATERIZATION, SAUCERIZATION, OR DIAPHYSECYOMY)BO",LOCAL,2022,0360-27641,"PARTIAL EXC (CRATERIZATION, SAUCERIZATION, OR DIAPHYSECYOMY)BO",RC,2022,384,BLOOD - PLATELETS,,,,,1831151455,ein,04-3358564,fee schedule,5279.89,12/31/9999,22,institutional
